Merchant_ID,Merchant_Name,Merchant_Category,Business_Type,Merchant_City,Merchant_State,Merchant_Risk_Level,Merchant_Rating,Merchant_Age_Years,Daily_Transaction_Volume,Average_Transaction_Value,Supports_UPI,Supports_Debit_Card,Supports_Credit_Card,Supports_Net_Banking,Supports_Wallet,Merchant_Status
MER0001,MutualFund SIP,Finance,Financial Services,Chennai,Tamil Nadu,Medium,3.8,24,7217,4212,Yes,Yes,Yes,Yes,Yes,Active
MER0002,SecureInvest,Finance,Financial Services,Bangalore,Karnataka,Low,3.5,7,15747,720,Yes,Yes,Yes,Yes,Yes,Active
MER0003,FuelPoint,Fuel,Fuel Station,Chennai,Tamil Nadu,Low,4.5,18,27993,11931,Yes,Yes,Yes,Yes,Yes,Active
MER0004,TravelHub,Travel,Travel Booking,Kochi,Kerala,Low,4.6,6,46253,306,Yes,Yes,Yes,Yes,Yes,Active
MER0005,Vi,Telecom,Telecommunication,Delhi,Delhi,Low,3.7,13,6838,5714,Yes,Yes,Yes,Yes,Yes,Active
MER0006,WaterBoard,Utility Bills,Utility,Kochi,Kerala,Low,4.6,18,8680,911,Yes,Yes,Yes,Yes,Yes,Active
MER0007,Airtel,Telecom,Telecommunication,Jaipur,Rajasthan,Low,4.4,12,38337,10499,Yes,Yes,Yes,Yes,Yes,Active
MER0008,TripSmart,Travel,Travel Booking,Bangalore,Karnataka,Low,4.7,3,15756,3933,Yes,Yes,Yes,Yes,Yes,Active
MER0009,FoodDash,Food Delivery,Food Service,Delhi,Delhi,Low,3.7,12,14230,6177,Yes,Yes,Yes,Yes,Yes,Active
MER0010,FinanceHub,Finance,Financial Services,Bangalore,Karnataka,Low,4.3,8,11208,3003,Yes,Yes,Yes,Yes,Yes,Active
MER0011,PrimeVideo,Entertainment,Subscription,Delhi,Delhi,High,4.5,8,45366,10685,Yes,Yes,Yes,Yes,Yes,Active
MER0012,TNEB,Utility Bills,Utility,Mumbai,Maharashtra,Medium,4.1,3,14326,5368,Yes,Yes,Yes,Yes,Yes,Active
MER0013,ICICI Lombard,Insurance,Insurance,Mumbai,Maharashtra,Low,4.8,21,30571,6682,Yes,Yes,Yes,Yes,Yes,Active
